"filename", "language", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "XML", "TypeScript JSX", "Markdown", "CSS", "comment", "blank", "total"
"g:\SKillSnapFrontend\.eslintrc.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"g:\SKillSnapFrontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 0, 14, 37
"g:\SKillSnapFrontend\app\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 244, 0, 0, 4, 8, 256
"g:\SKillSnapFrontend\app\addproj\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 474, 0, 0, 1, 16, 491
"g:\SKillSnapFrontend\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 0, 0, 106, 0, 0, 0, 0, 23, 11, 140
"g:\SKillSnapFrontend\app\forgotpass\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 113, 0, 0, 0, 9, 122
"g:\SKillSnapFrontend\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 97, 0, 21, 118
"g:\SKillSnapFrontend\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"g:\SKillSnapFrontend\app\link\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 93, 0, 0, 2, 8, 103
"g:\SKillSnapFrontend\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 92, 0, 0, 0, 8, 100
"g:\SKillSnapFrontend\app\loginuser\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 201, 0, 0, 17, 18, 236
"g:\SKillSnapFrontend\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"g:\SKillSnapFrontend\app\profile\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 206, 0, 0, 3, 10, 219
"g:\SKillSnapFrontend\app\projectcard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"g:\SKillSnapFrontend\app\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 196, 0, 0, 7, 15, 218
"g:\SKillSnapFrontend\app\reset\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 122, 0, 0, 0, 8, 130
"g:\SKillSnapFrontend\app\verify\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 144, 0, 0, 6, 17, 167
"g:\SKillSnapFrontend\components.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"g:\SKillSnapFrontend\components\CertificateComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 101, 0, 0, 99, 11, 211
"g:\SKillSnapFrontend\components\ContactComponents.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 50, 0, 0, 2, 7, 59
"g:\SKillSnapFrontend\components\Dialogs\EmailDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 1, 5, 59
"g:\SKillSnapFrontend\components\Dialogs\InviteDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 6, 73
